"","x"
"167",55329007.100474
"168",51636756.7946073
"169",55639446.1312818
"170",57466625.6166705
"171",51340954.5561569
"172",56790237.8973209
"173",55018211.7401269
"174",54191497.9727363
"175",52625363.2631565
"176",55661062.6543307
"177",55702164.1569704
"178",57019233.1960015
"179",54334954.1401383
"180",55320329.6338314
"181",54785318.25156
"182",56844210.584439
"183",54907355.4111401
"184",57320142.104123
"185",56220301.8494195
"186",54609787.3550979
"187",51533243.9777887
"188",53716468.8558573
"189",55316293.3903859
"190",53172677.6235654
"191",54551315.3570392
"192",50759437.1832123
"193",54371415.6858267
"194",55669702.1094427
"195",52993160.4234225
"196",53639495.301027
"197",53395899.4463829
"198",56543245.5215349
"199",56187295.635209
"200",53188885.7119931
"201",56161256.4053588
"202",54511846.6743879
"203",54333752.8298294
"204",52348159.9010293
"205",54403727.7356901
"206",54762372.6488569
"207",54747134.1538554
"208",55564491.2446353
"209",52619248.5718477
"210",54902846.9357258
"211",55910393.4575744
"212",52560328.6525279
"213",53044883.0916985
"214",53117315.814359
"215",54132773.5657409
"216",54907177.3310717
"217",57331851.659884
"218",54336874.7106559
"219",52918071.1412304
"220",53925522.7377921
"221",51451525.1314518
"222",51254470.4197022
"223",52530370.5053574
"224",55484924.8313537
"225",53236532.7927949
"226",54742712.563858
"227",57212361.3036899
"228",52520913.6205267
"229",53311897.5656859
"230",50864904.2578497
"231",54842390.5149945
"232",51390353.8991078
"233",55524574.0975424
"234",54972697.635827
"235",55242670.9055547
"236",54165425.2079832
"237",54062012.6022148
"238",52461431.077979
"239",52769142.3678387
"240",52698011.6881219
"241",52061343.7044938
"242",54981474.419344
"243",57394246.3913088
"244",53141852.2323151
"245",52066133.3860857
"246",53794272.7412002
"247",52050391.9592775
"248",52776674.2968419
"249",56101024.600631
"250",55619774.5537509
"251",56756084.8573311
"252",52006710.1111715
"253",54947437.4544061
"254",55136006.043345
"255",55419241.7127899
"256",52643274.9114458
"257",53377648.3070879
"258",55593547.0447665
"259",53018790.0183293
"260",53617912.6111654
"261",52135076.7016993
"262",52899700.8386609
"263",51281720.4341816
"264",51619263.0360504
"265",51103907.3919175
"266",53352401.6648337
"267",51192616.026246
"268",55755048.4981071
"269",53763081.507757
"270",51702566.3644516
"271",54607298.0282081
"272",53230787.6783852
"273",51005574.0566771
"274",56316515.8702093
"275",54015584.4985381
"276",54694749.8608896
"277",55622518.106493
"278",53682635.5878862
"279",57385703.5874047
"280",55443478.1947893
"281",50301640.2402485
"282",56399116.9752185
"283",52242492.0594003
"284",51887314.519777
"285",56308133.9959629
"286",50686071.5792032
"287",56017322.4205125
"288",54015955.4295803
"289",53444406.4949603
"290",54713687.4544938
"291",57536709.6178425
"292",53539317.3883517
"293",54291708.2300628
"294",54382524.7787828
"295",53548769.8040252
"296",53486807.2143973
"297",54164350.2731094
"298",52511191.8495158
"299",54761930.4528262
"300",51067712.3330196
"301",55520501.3666009
"302",55932509.0753014
"303",54194303.6637592
"304",52998224.4365211
"305",52681591.5364339
"306",53494749.2120711
"307",51920450.7960237
"308",53146234.4504476
"309",56920802.1051135
"310",54091943.4038659
"311",55196535.5058284
"312",55700784.7893958
"313",57461716.0826837
"314",53231136.9110435
"315",54516809.3402254
"316",53578977.5184783
"317",53990900.572816
"318",54232861.1741117
"319",53423508.6507066
"320",51923853.7869936
"321",52458104.4622655
"322",52235024.6690065
"323",54498751.2151712
"324",50841549.248641
"325",56614002.0732648
"326",52817361.6814522
"327",54972224.9973878
"328",53079528.8322398
"329",53279360.6677956
"330",55497555.6683523
"331",53732929.7266712
"332",53653543.817268
"333",56059037.1007771
"334",57698337.1436517
"335",55543324.3734708
"336",51711108.5816791
"337",55920666.7296178
"338",52178515.5731996
"339",53583174.5798435
"340",53967181.9378325
"341",51959460.4353293
"342",52551348.4236465
"343",56939210.8197411
"344",50844998.8086179
"345",55927048.8652635
"346",56736988.0897689
"347",52330183.5503055
"348",53593629.1472121
"349",56015268.7137789
"350",51734575.9482421
"351",53624242.8724282
"352",51485029.752749
"353",56334420.5743449
"354",53627843.1375376
"355",52812931.5057235
"356",54593335.7923695
"357",54076784.8304113
"358",53301869.1328547
"359",52943587.5095762
"360",53441630.0673201
"361",55790412.7626452
"362",50968764.2746937
"363",51868293.8586572
"364",55674466.8474236
"365",54085320.2919621
"366",51751987.8318755
"367",54271504.5539785
"368",53677426.3628103
"369",54488134.4206054
"370",52454205.8552912
"371",54297849.9587472
"372",51878827.2744695
"373",53868241.5708874
"374",56211988.610974
"375",56921419.7864527
"376",56424892.9281243
"377",51522862.1165779
"378",55532260.7111398
"379",52142119.136715
"380",53794323.8373184
"381",52592779.8394325
"382",53841215.273374
"383",54619735.7659708
"384",55315561.041844
"385",54939438.1295181
"386",56546680.5949281
"387",55743692.6118676
"388",50402819.1314761
"389",54015199.9410122
"390",54611197.8931221
"391",55306959.3454877
"392",56650367.2255442
"393",57094967.0306283
"394",54533037.102293
"395",51276865.5772566
"396",54770124.187776
"397",55402676.613523
"398",53623481.7141882
"399",55035511.6942987
"400",51288155.9148216
"401",53334649.6838153
"402",54202095.0014838
"403",54220580.2645727
"404",54996032.1595386
"405",52295791.018446
"406",51168435.5025682
"407",55758977.6878775
"408",53599550.2112296
"409",53758281.2492798
"410",57522543.9299449
"411",55889235.5990631
"412",54879202.9041214
"413",52755099.4261831
