"","x"
"1951",60795945.0445898
"1952",60258533.74568
"1953",61659601.6867837
"1954",58335561.830339
"1955",60787535.2198642
"1956",60036781.8841951
"1957",60985290.3183344
"1958",60267230.4715805
"1959",58359119.1788015
"1960",60222741.8375078
"1961",58073206.0970455
"1962",60110839.9573272
"1963",59656112.9180298
"1964",59698240.5780067
"1965",60761904.438275
"1966",59584088.932221
"1967",60181433.8736322
"1968",60480807.8967939
"1969",60568254.5782239
"1970",59921428.788168
"1971",59830436.3006435
"1972",61727573.1439915
"1973",60087060.1850935
"1974",61491981.332307
"1975",59522378.6028694
"1976",60414824.8138595
"1977",62982902.5941997
"1978",60092414.2644865
"1979",59739909.4101652
"1980",61468348.9134414
"1981",60761569.2971727
"1982",59340328.3712027
"1983",60482592.5467658
"1984",60219298.7212987
"1985",60081369.3116427
"1986",60879541.6581585
"1987",60714097.7167183
"1988",60217866.6727021
"1989",59250497.7281462
"1990",59348278.0409656
"1991",60423516.0955679
"1992",59969064.3886053
"1993",59551064.8112819
"1994",60607121.9655049
"1995",59607335.4909807
"1996",59795912.8270127
"1997",60080796.0484734
"1998",61313961.3156921
"1999",61606679.0877246
"2000",61341127.0906063
"2001",59493065.7454009
"2002",59847284.4330411
"2003",61580497.2631779
"2004",61287827.9710016
"2005",60016851.3232465
"2006",60708761.3812368
"2007",59971538.544328
"2008",60307459.9537727
"2009",60324190.9604093
"2010",59259922.2767271
"2011",60991225.2173354
"2012",60636776.6724524
"2013",61139649.8928572
"2014",60301106.2496681
"2015",59041625.8047742
"2016",60005932.1165543
"2017",60268171.4267229
"2018",61859831.9955392
"2019",62719689.346117
"2020",58812573.984594
"2021",60042924.6160011
"2022",60993379.2730116
"2023",60292771.3080195
"2024",59209682.9697026
"2025",58482078.7904452
"2026",59720653.4327026
"2027",59629104.4504955
"2028",60392997.6726899
"2029",60994670.6658455
"2030",60110542.3426879
"2031",60778021.9465457
"2032",59993372.1702049
"2033",59165383.5853824
"2034",59624858.314628
"2035",58879515.559426
"2036",62023960.4049373
"2037",59430730.9338281
"2038",59966824.2010699
"2039",60333386.3281861
"2040",60579806.4526923
"2041",61315462.3444239
"2042",61239069.5564262
"2043",61563019.2420014
"2044",60321849.8082557
"2045",61089530.9096612
"2046",60189861.8062408
"2047",60691243.0018251
"2048",58455589.1885544
"2049",59617760.5529565
"2050",60905578.7555602
"2051",60389136.581751
"2052",60392957.6826858
"2053",60394724.3154434
"2054",59711148.0296219
"2055",61600683.2195596
"2056",59710749.8282349
"2057",60787214.5896936
"2058",60480898.0177936
"2059",60371774.4899823
"2060",60664810.7127287
"2061",58682266.0431626
"2062",61591492.4295887
"2063",60224633.1844804
"2064",61173927.3353622
"2065",58551195.0681211
"2066",59854254.5869108
"2067",60484003.9765982
"2068",59649081.061898
"2069",60413353.7730069
"2070",60566331.6932349
"2071",59950996.2011195
"2072",60389354.9527432
"2073",60918324.9313844
"2074",59896716.6850841
"2075",59273011.1369405
"2076",59218762.0720645
"2077",60676942.1680936
"2078",61314942.8098373
"2079",60233436.0115016
"2080",59963427.1210216
"2081",60464167.1363385
"2082",60829996.9674627
"2083",60590386.4214877
"2084",61002343.5845073
"2085",60215208.6778876
"2086",59368995.029106
"2087",59652867.5699667
"2088",60644474.7926873
"2089",60435825.0730076
"2090",60613151.0250456
"2091",59796301.3000108
"2092",60663014.9305579
"2093",59907971.8661654
"2094",58890364.9467433
