"","x"
"100",102990388.220034
"101",101479437.096003
"102",104799655.977606
"103",105478911.209381
"104",102452406.350819
"105",105840059.056282
"106",102955791.331542
"107",102708848.680653
"108",101673495.346698
"109",101607943.490663
"110",104938653.357202
"111",103362778.962796
"112",103866460.958461
"113",105523420.916619
"114",104172641.428749
"115",106002083.681994
"116",104438829.612155
"117",103051018.964838
"118",104799644.186869
"119",102333861.749762
"120",105379177.797523
"121",103720657.597789
"122",103860938.900754
"123",101579593.385302
"124",103682191.347634
"125",104492091.600557
"126",106782313.276372
"127",103759648.335138
"128",102604804.062235
"129",104880039.183087
"130",102961003.062471
"131",103548176.897532
"132",105655199.58907
"133",104721273.110888
"134",102524319.027484
"135",100967158.226736
"136",104867201.3281
"137",105183486.46226
"138",102409014.283797
"139",104380706.262011
"140",103445584.396895
"141",103619279.381712
"142",105196991.767594
"143",102627692.062112
"144",104306462.753071
"145",104239801.057376
"146",103957504.010968
"147",103036495.643131
"148",103112474.748832
"149",104245330.094674
"150",104268996.082183
"151",104502220.79781
"152",104837188.623338
"153",103611521.932643
"154",103211698.432332
"155",104303695.817786
"156",106182196.501942
"157",103014665.028191
"158",105358974.132015
"159",102976542.018657
"160",103319899.43943
"161",101014433.947893
"162",103096064.446709
"163",105118375.920089
"164",105029683.995568
"165",105549693.51827
"166",102354914.741724
"167",104386889.362026
"168",101411877.043765
"169",104936865.988737
"170",105384130.160128
"171",102502005.151804
"172",104651318.850049
"173",103948044.987375
"174",103782764.053598
"175",104200333.540295
"176",100649749.027782
"177",104356380.551579
"178",102571782.266007
"179",104291092.277263
"180",103856009.714921
"181",104134183.048061
"182",102466906.645342
"183",103420442.941496
"184",102277151.775037
"185",103451299.939609
"186",103173663.500287
"187",102868222.178702
"188",105228355.066451
"189",103814157.155043
"190",104113863.328552
"191",102990750.068172
"192",104843025.848727
"193",103286491.665662
"194",101772341.951497
"195",103817473.639807
"196",104244836.376058
"197",99705441.3781742
"198",100802586.84978
"199",103441083.38336
"200",104263518.426679
"201",104660865.288852
"202",104455481.550956
"203",103339816.137563
