Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Date,IFNULLSign,Table Name,ValueNumberSigns,DateAdd,Raw Value,ScaledValue,Suffix,Value
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/09/2015,,owner_occupier_1,,1/10/2010,15253,15.253,k,15253
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/10/2015,,owner_occupier_1,,1/11/2010,15537,15.537,k,15537
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/11/2015,,owner_occupier_1,,1/12/2010,16518,16.518,k,16518
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/12/2015,,owner_occupier_1,,1/01/2011,17291,17.291,k,17291
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/01/2016,,owner_occupier_1,,1/02/2011,12152,12.152,k,12152
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/02/2016,,owner_occupier_1,,1/03/2011,15045,15.045,k,15045
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/03/2016,,owner_occupier_1,,1/04/2011,16688,16.688,k,16688
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/04/2016,,owner_occupier_1,,1/05/2011,16404,16.404,k,16404
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/05/2016,,owner_occupier_1,,1/06/2011,17501,17.501,k,17501
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/06/2016,,owner_occupier_1,,1/07/2011,17452,17.452,k,17452
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/07/2016,,owner_occupier_1,,1/08/2011,15830,15.83,k,15830
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/08/2016,,owner_occupier_1,,1/09/2011,16059,16.059,k,16059
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/09/2016,,owner_occupier_1,,1/10/2011,16635,16.635,k,16635
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/10/2016,,owner_occupier_1,,1/11/2011,15080,15.08,k,15080
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/11/2016,,owner_occupier_1,,1/12/2011,16313,16.313,k,16313
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/12/2016,,owner_occupier_1,,1/01/2012,14458,14.458,k,14458
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/01/2017,,owner_occupier_1,,1/02/2012,12370,12.37,k,12370
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/02/2017,,owner_occupier_1,,1/03/2012,13159,13.159,k,13159
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/03/2017,,owner_occupier_1,,1/04/2012,15450,15.45,k,15450
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/04/2017,,owner_occupier_1,,1/05/2012,11890,11.89,k,11890
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/05/2017,,owner_occupier_1,,1/06/2012,15242,15.242,k,15242
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/06/2017,,owner_occupier_1,,1/07/2012,14619,14.619,k,14619
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/07/2017,,owner_occupier_1,,1/08/2012,13186,13.186,k,13186
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/08/2017,,owner_occupier_1,,1/09/2012,14619,14.619,k,14619
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/09/2017,,owner_occupier_1,,1/10/2012,13749,13.749,k,13749
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/10/2017,,owner_occupier_1,,1/11/2012,14223,14.223,k,14223
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/11/2017,,owner_occupier_1,,1/12/2012,15418,15.418,k,15418
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/12/2017,,owner_occupier_1,,1/01/2013,13583,13.583,k,13583
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/01/2018,,owner_occupier_1,,1/02/2013,11986,11.986,k,11986
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/02/2018,,owner_occupier_1,,1/03/2013,12942,12.942,k,12942
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/03/2018,,owner_occupier_1,,1/04/2013,14075,14.075,k,14075
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/04/2018,,owner_occupier_1,,1/05/2013,12603,12.603,k,12603
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/05/2018,,owner_occupier_1,,1/06/2013,15040,15.04,k,15040
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/06/2018,,owner_occupier_1,,1/07/2013,13486,13.486,k,13486
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/07/2018,,owner_occupier_1,,1/08/2013,14392,14.392,k,14392
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/08/2018,,owner_occupier_1,,1/09/2013,14688,14.688,k,14688
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/09/2018,,owner_occupier_1,,1/10/2013,13017,13.017,k,13017
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/10/2018,,owner_occupier_1,,1/11/2013,14724,14.724,k,14724
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/11/2018,,owner_occupier_1,,1/12/2013,14945,14.945,k,14945
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/12/2018,,owner_occupier_1,,1/01/2014,12850,12.85,k,12850
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/01/2019,,owner_occupier_1,,1/02/2014,10764,10.764,k,10764
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/02/2019,,owner_occupier_1,,1/03/2014,12069,12.069,k,12069
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/03/2019,,owner_occupier_1,,1/04/2014,12778,12.778,k,12778
