Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Date,IFNULLSign,Table Name,ValueNumberSigns,DateAdd,Raw Value,ScaledValue,Suffix,Value
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/09/2020,$,investors,$,1/10/2015,2622100000,2.6221,b,2622.1
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/10/2020,,investors,,1/11/2015,11645,11.645,k,11645
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/10/2020,,investors,,1/11/2015,9713,9.713,k,9713
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/10/2020,,investors,,1/11/2015,6242,6.242,k,6242
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/10/2020,$,investors,$,1/11/2015,5432300000,5.4323,b,5432.3
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/10/2020,$,investors,$,1/11/2015,4812400000,4.8124,b,4812.4
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/10/2020,$,investors,$,1/11/2015,3303900000,3.3039,b,3303.9
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/11/2020,,investors,,1/12/2015,12174,12.174,k,12174
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/11/2020,,investors,,1/12/2015,8201,8.201,k,8201
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/11/2020,,investors,,1/12/2015,5679,5.679,k,5679
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/11/2020,$,investors,$,1/12/2015,5899700000,5.8997,b,5899.7
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/11/2020,$,investors,$,1/12/2015,4025500000,4.0255,b,4025.5
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/11/2020,$,investors,$,1/12/2015,2874400000,2.8744,b,2874.4
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/12/2020,,investors,,1/01/2016,13683,13.683,k,13683
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/12/2020,,investors,,1/01/2016,8804,8.804,k,8804
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/12/2020,,investors,,1/01/2016,5678,5.678,k,5678
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/12/2020,$,investors,$,1/01/2016,6681500000,6.6815,b,6681.5
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/12/2020,$,investors,$,1/01/2016,4381400000,4.3814,b,4381.4
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/12/2020,$,investors,$,1/01/2016,2598300000,2.5983,b,2598.3
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/01/2021,,investors,,1/02/2016,10813,10.813,k,10813
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/01/2021,,investors,,1/02/2016,7069,7.069,k,7069
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/01/2021,,investors,,1/02/2016,4638,4.638,k,4638
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/01/2021,$,investors,$,1/02/2016,5408800000,5.4088,b,5408.8
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/01/2021,$,investors,$,1/02/2016,3469800000,3.4698,b,3469.8
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/01/2021,$,investors,$,1/02/2016,2048100000,2.0481,b,2048.1
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/02/2021,,investors,,1/03/2016,12079,12.079,k,12079
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/02/2021,,investors,,1/03/2016,8036,8.036,k,8036
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/02/2021,,investors,,1/03/2016,5218,5.218,k,5218
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/02/2021,$,investors,$,1/03/2016,5765700000,5.7657,b,5765.7
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/02/2021,$,investors,$,1/03/2016,4035000000,4.035,b,4035
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/02/2021,$,investors,$,1/03/2016,2434400000,2.4344,b,2434.4
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/03/2021,,investors,,1/04/2016,16238,16.238,k,16238
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/03/2021,,investors,,1/04/2016,9953,9.953,k,9953
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/03/2021,,investors,,1/04/2016,6170,6.17,k,6170
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/03/2021,$,investors,$,1/04/2016,7927000000,7.927,b,7927
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/03/2021,$,investors,$,1/04/2016,4888900000,4.8889,b,4888.9
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/03/2021,$,investors,$,1/04/2016,2649300000,2.6493,b,2649.3
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/04/2021,,investors,,1/05/2016,15123,15.123,k,15123
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/04/2021,,investors,,1/05/2016,8602,8.602,k,8602
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/04/2021,,investors,,1/05/2016,5669,5.669,k,5669
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/04/2021,$,investors,$,1/05/2016,7606700000,7.6067,b,7606.7
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/04/2021,$,investors,$,1/05/2016,4219100000,4.2191,b,4219.1
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/04/2021,$,investors,$,1/05/2016,2604600000,2.6046,b,2604.6
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/05/2021,,investors,,1/06/2016,17214,17.214,k,17214
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/05/2021,,investors,,1/06/2016,10158,10.158,k,10158
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/05/2021,,investors,,1/06/2016,6302,6.302,k,6302
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/05/2021,$,investors,$,1/06/2016,9046800000,9.0468,b,9046.8
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/05/2021,$,investors,$,1/06/2016,5233900000,5.2339,b,5233.9
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/05/2021,$,investors,$,1/06/2016,2957000000,2.957,b,2957
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/06/2021,,investors,,1/07/2016,18625,18.625,k,18625
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/06/2021,,investors,,1/07/2016,11751,11.751,k,11751
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/06/2021,,investors,,1/07/2016,7042,7.042,k,7042
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/06/2021,$,investors,$,1/07/2016,9728800000,9.7288,b,9728.8
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/06/2021,$,investors,$,1/07/2016,6103600000,6.1036,b,6103.6
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/06/2021,$,investors,$,1/07/2016,3372500000,3.3725,b,3372.5
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/07/2021,,investors,,1/08/2016,18297,18.297,k,18297
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/07/2021,,investors,,1/08/2016,12564,12.564,k,12564
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/07/2021,,investors,,1/08/2016,6692,6.692,k,6692
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/07/2021,$,investors,$,1/08/2016,9575600000,9.5756,b,9575.6
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/07/2021,$,investors,$,1/08/2016,6201600000,6.2016,b,6201.6
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/07/2021,$,investors,$,1/08/2016,3163900000,3.1639,b,3163.9
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/08/2021,,investors,,1/09/2016,18758,18.758,k,18758
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/08/2021,,investors,,1/09/2016,12403,12.403,k,12403
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/08/2021,,investors,,1/09/2016,6607,6.607,k,6607
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/08/2021,$,investors,$,1/09/2016,9752400000,9.7524,b,9752.4
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/08/2021,$,investors,$,1/09/2016,6514600000,6.5146,b,6514.6
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/08/2021,$,investors,$,1/09/2016,3150000000,3.15,b,3150
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/09/2021,,investors,,1/10/2016,18711,18.711,k,18711
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/09/2021,,investors,,1/10/2016,11870,11.87,k,11870
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/09/2021,,investors,,1/10/2016,6370,6.37,k,6370
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/09/2021,$,investors,$,1/10/2016,9887800000,9.8878,b,9887.8
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/09/2021,$,investors,$,1/10/2016,6182600000,6.1826,b,6182.6
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/09/2021,$,investors,$,1/10/2016,3299100000,3.2991,b,3299.1
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/10/2021,,investors,,1/11/2016,18762,18.762,k,18762
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/10/2021,,investors,,1/11/2016,10799,10.799,k,10799
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/10/2021,,investors,,1/11/2016,5940,5.94,k,5940
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/10/2021,$,investors,$,1/11/2016,10016500000,10.0165,b,10016.5
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/10/2021,$,investors,$,1/11/2016,5707900000,5.7079,b,5707.9
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/10/2021,$,investors,$,1/11/2016,3121500000,3.1215,b,3121.5
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/11/2021,,investors,,1/12/2016,21487,21.487,k,21487
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/11/2021,,investors,,1/12/2016,11227,11.227,k,11227
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/11/2021,,investors,,1/12/2016,6498,6.498,k,6498
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/11/2021,$,investors,$,1/12/2016,11911300000,11.9113,b,11911.3
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/11/2021,$,investors,$,1/12/2016,5946600000,5.9466,b,5946.6
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/11/2021,$,investors,$,1/12/2016,3330500000,3.3305,b,3330.5
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/12/2021,,investors,,1/01/2017,21086,21.086,k,21086
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/12/2021,,investors,,1/01/2017,10673,10.673,k,10673
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/12/2021,,investors,,1/01/2017,5999,5.999,k,5999
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/12/2021,$,investors,$,1/01/2017,11971400000,11.9714,b,11971.4
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/12/2021,$,investors,$,1/01/2017,5673300000,5.6733,b,5673.3
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/12/2021,$,investors,$,1/01/2017,3164000000,3.164,b,3164
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/01/2022,,investors,,1/02/2017,16349,16.349,k,16349
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/01/2022,,investors,,1/02/2017,7882,7.882,k,7882
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/01/2022,,investors,,1/02/2017,4108,4.108,k,4108
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/01/2022,$,investors,$,1/02/2017,9557000000,9.557,b,9557
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/01/2022,$,investors,$,1/02/2017,4148000000,4.148,b,4148
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/01/2022,$,investors,$,1/02/2017,2105500000,2.1055,b,2105.5
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/02/2022,,investors,,1/03/2017,16810,16.81,k,16810
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/02/2022,,investors,,1/03/2017,8512,8.512,k,8512
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/02/2022,,investors,,1/03/2017,4850,4.85,k,4850
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/02/2022,$,investors,$,1/03/2017,9478700000,9.4787,b,9478.7
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/02/2022,$,investors,$,1/03/2017,4529000000,4.529,b,4529
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/02/2022,$,investors,$,1/03/2017,2394800000,2.3948,b,2394.8
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/03/2022,,investors,,1/04/2017,21668,21.668,k,21668
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/03/2022,,investors,,1/04/2017,10750,10.75,k,10750
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/03/2022,,investors,,1/04/2017,5321,5.321,k,5321
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/03/2022,$,investors,$,1/04/2017,11985000000,11.985,b,11985
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/03/2022,$,investors,$,1/04/2017,5633200000,5.6332,b,5633.2
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/03/2022,$,investors,$,1/04/2017,2739300000,2.7393,b,2739.3
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/04/2022,,investors,,1/05/2017,17569,17.569,k,17569
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/04/2022,,investors,,1/05/2017,8864,8.864,k,8864
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/04/2022,,investors,,1/05/2017,4485,4.485,k,4485
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/04/2022,$,investors,$,1/05/2017,9978600000,9.9786,b,9978.6
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/04/2022,$,investors,$,1/05/2017,4699400000,4.6994,b,4699.4
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/04/2022,$,investors,$,1/05/2017,2325500000,2.3255,b,2325.5
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/05/2022,,investors,,1/06/2017,20541,20.541,k,20541
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/05/2022,,investors,,1/06/2017,11373,11.373,k,11373
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/05/2022,,investors,,1/06/2017,5487,5.487,k,5487
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/05/2022,$,investors,$,1/06/2017,11612600000,11.6126,b,11612.6
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/05/2022,$,investors,$,1/06/2017,6008100000,6.0081,b,6008.1
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/05/2022,$,investors,$,1/06/2017,2822800000,2.8228,b,2822.8
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/06/2022,,investors,,1/07/2017,20304,20.304,k,20304
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/06/2022,,investors,,1/07/2017,12004,12.004,k,12004
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/06/2022,,investors,,1/07/2017,5817,5.817,k,5817
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/06/2022,$,investors,$,1/07/2017,11226600000,11.2266,b,11226.6
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/06/2022,$,investors,$,1/07/2017,6503200000,6.5032,b,6503.2
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/06/2022,$,investors,$,1/07/2017,2969300000,2.9693,b,2969.3
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/07/2022,,investors,,1/08/2017,16890,16.89,k,16890
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/07/2022,,investors,,1/08/2017,10682,10.682,k,10682
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/07/2022,,investors,,1/08/2017,4731,4.731,k,4731
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/07/2022,$,investors,$,1/08/2017,9225000000,9.225,b,9225
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/07/2022,$,investors,$,1/08/2017,5745700000,5.7457,b,5745.7
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/07/2022,$,investors,$,1/08/2017,2474500000,2.4745,b,2474.5
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/08/2022,,investors,,1/09/2017,17341,17.341,k,17341
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/08/2022,,investors,,1/09/2017,12076,12.076,k,12076
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/08/2022,,investors,,1/09/2017,5069,5.069,k,5069
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/08/2022,$,investors,$,1/09/2017,9470000000,9.47,b,9470
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/08/2022,$,investors,$,1/09/2017,6528200000,6.5282,b,6528.2
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/08/2022,$,investors,$,1/09/2017,2539900000,2.5399,b,2539.9
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/09/2022,,investors,,1/10/2017,15733,15.733,k,15733
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/09/2022,,investors,,1/10/2017,10879,10.879,k,10879
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/09/2022,,investors,,1/10/2017,4538,4.538,k,4538
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/09/2022,$,investors,$,1/10/2017,8450600000,8.4506,b,8450.6
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/09/2022,$,investors,$,1/10/2017,5843700000,5.8437,b,5843.7
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/09/2022,$,investors,$,1/10/2017,2343300000,2.3433,b,2343.3
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/10/2022,,investors,,1/11/2017,15625,15.625,k,15625
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/10/2022,,investors,,1/11/2017,10637,10.637,k,10637
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/10/2022,,investors,,1/11/2017,4352,4.352,k,4352
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/10/2022,$,investors,$,1/11/2017,8660200000,8.6602,b,8660.2
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/10/2022,$,investors,$,1/11/2017,5809600000,5.8096,b,5809.6
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/10/2022,$,investors,$,1/11/2017,2253600000,2.2536,b,2253.6
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/11/2022,,investors,,1/12/2017,16252,16.252,k,16252
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/11/2022,,investors,,1/12/2017,11957,11.957,k,11957
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/11/2022,,investors,,1/12/2017,4815,4.815,k,4815
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/11/2022,$,investors,$,1/12/2017,8990000000,8.99,b,8990
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/11/2022,$,investors,$,1/12/2017,6417100000,6.4171,b,6417.1
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/11/2022,$,investors,$,1/12/2017,2640100000,2.6401,b,2640.1
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/12/2022,,investors,,1/01/2018,15223,15.223,k,15223
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/12/2022,,investors,,1/01/2018,11056,11.056,k,11056
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/12/2022,,investors,,1/01/2018,4391,4.391,k,4391
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/12/2022,$,investors,$,1/01/2018,8463200000,8.4632,b,8463.2
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/12/2022,$,investors,$,1/01/2018,6122800000,6.1228,b,6122.8
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/12/2022,$,investors,$,1/01/2018,2381800000,2.3818,b,2381.8
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/01/2023,,investors,,1/02/2018,11485,11.485,k,11485
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/01/2023,,investors,,1/02/2018,8963,8.963,k,8963
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/01/2023,,investors,,1/02/2018,3448,3.448,k,3448
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/01/2023,$,investors,$,1/02/2018,6469500000,6.4695,b,6469.5
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/01/2023,$,investors,$,1/02/2018,4784300000,4.7843,b,4784.3
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/01/2023,$,investors,$,1/02/2018,1824600000,1.8246,b,1824.6
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/02/2023,,investors,,1/03/2018,11996,11.996,k,11996
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/02/2023,,investors,,1/03/2018,10110,10.11,k,10110
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/02/2023,,investors,,1/03/2018,4160,4.16,k,4160
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/02/2023,$,investors,$,1/03/2018,6613800000,6.6138,b,6613.8
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/02/2023,$,investors,$,1/03/2018,5453000000,5.453,b,5453
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/02/2023,$,investors,$,1/03/2018,2395300000,2.3953,b,2395.3
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/03/2023,,investors,,1/04/2018,15304,15.304,k,15304
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/03/2023,,investors,,1/04/2018,13287,13.287,k,13287
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/03/2023,,investors,,1/04/2018,4861,4.861,k,4861
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/03/2023,$,investors,$,1/04/2018,8445000000,8.445,b,8445
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/03/2023,$,investors,$,1/04/2018,7165900000,7.1659,b,7165.9
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/03/2023,$,investors,$,1/04/2018,2604400000,2.6044,b,2604.4
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/04/2023,,investors,,1/05/2018,12562,12.562,k,12562
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/04/2023,,investors,,1/05/2018,9794,9.794,k,9794
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/04/2023,,investors,,1/05/2018,4152,4.152,k,4152
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/04/2023,$,investors,$,1/05/2018,6977900000,6.9779,b,6977.9
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/04/2023,$,investors,$,1/05/2018,5332300000,5.3323,b,5332.3
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/04/2023,$,investors,$,1/05/2018,2439100000,2.4391,b,2439.1
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/05/2023,,investors,,1/06/2018,16940,16.94,k,16940
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/05/2023,,investors,,1/06/2018,13883,13.883,k,13883
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/05/2023,,investors,,1/06/2018,6094,6.094,k,6094
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/05/2023,$,investors,$,1/06/2018,9439200000,9.4392,b,9439.2
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/05/2023,$,investors,$,1/06/2018,7580000000,7.58,b,7580
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/05/2023,$,investors,$,1/06/2018,3201200000,3.2012,b,3201.2
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/06/2023,,investors,,1/07/2018,17497,17.497,k,17497
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/06/2023,,investors,,1/07/2018,13841,13.841,k,13841
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/06/2023,,investors,,1/07/2018,6897,6.897,k,6897
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/06/2023,$,investors,$,1/07/2018,9677700000,9.6777,b,9677.7
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/06/2023,$,investors,$,1/07/2018,7678800000,7.6788,b,7678.8
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/06/2023,$,investors,$,1/07/2018,3880300000,3.8803,b,3880.3
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/07/2023,,investors,,1/08/2018,15059,15.059,k,15059
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/07/2023,,investors,,1/08/2018,13121,13.121,k,13121
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/07/2023,,investors,,1/08/2018,5482,5.482,k,5482
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/07/2023,$,investors,$,1/08/2018,8600400000,8.6004,b,8600.4
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/07/2023,$,investors,$,1/08/2018,7252200000,7.2522,b,7252.2
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/07/2023,$,investors,$,1/08/2018,2886600000,2.8866,b,2886.6
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Number,1/08/2023,,investors,,1/09/2018,16072,16.072,k,16072
Housing Finance,Investor,New loan commitments,External refinancing,Number,1/08/2023,,investors,,1/09/2018,13232,13.232,k,13232
Housing Finance,Investor,New loan commitments,Internal refinancing,Number,1/08/2023,,investors,,1/09/2018,5626,5.626,k,5626
Housing Finance,Investor,New loan commitments,Total housing excluding refinancing,Value,1/08/2023,$,investors,$,1/09/2018,9023300000,9.0233,b,9023.3
Housing Finance,Investor,New loan commitments,External refinancing,Value,1/08/2023,$,investors,$,1/09/2018,7353500000,7.3535,b,7353.5
Housing Finance,Investor,New loan commitments,Internal refinancing,Value,1/08/2023,$,investors,$,1/09/2018,3377000000,3.377,b,3377
Housing Finance,Owner occupier,New loan commitments,Total housing excluding refinancing,Number,1/07/2002,,owner_occupier_1,,1/08/1997,33134,33.134,k,33134
Housing Finance,Owner occupier,New loan commitments,External refinancing,Number,1/07/2002,,owner_occupier_1,,1/08/1997,12195,12.195,k,12195
Housing Finance,Owner occupier,New loan commitments,Total housing excluding refinancing,Value,1/07/2002,$,owner_occupier_1,$,1/08/1997,6511600000,6.5116,b,6511.6
Housing Finance,Owner occupier,New loan commitments,External refinancing,Value,1/07/2002,$,owner_occupier_1,$,1/08/1997,1851800000,1.8518,b,1851.8
Housing Finance,Owner occupier,New loan commitments,Total housing excluding refinancing,Number,1/08/2002,,owner_occupier_1,,1/09/1997,30881,30.881,k,30881
