"","x"
"101",90331566.735109
"102",93193209.4488553
"103",90866879.8778474
"104",98270920.65809
"105",95972851.8948768
"106",91798367.5999373
"107",95943497.9896193
"108",88420921.6510048
"109",89786868.3519007
"110",91673818.3909979
"111",98390191.4545452
"112",95744567.9360289
"113",94584842.4433422
"114",92814334.6811953
"115",94203254.4703386
"116",88605582.5843297
"117",93794720.0098568
"118",92073537.452142
"119",94442735.8508315
"120",96384242.2981508
"121",90410614.6922458
"122",94983551.044348
"123",96394674.1905001
"124",91682461.7642317
"125",95441738.4253529
"126",92450817.858582
"127",95073534.9812581
"128",98089511.5762802
"129",94988307.6850287
"130",95643163.6555001
"131",97704297.1433131
"132",91844601.7108552
"133",96665954.7677983
"134",92656607.6248586
"135",95986338.605743
"136",92462331.4631231
"137",93224756.4481885
"138",88818723.7301863
"139",89929048.3103098
"140",95901958.6473075
"141",92203163.2741627
"142",93947856.4014615
"143",93205882.4440622
"144",93951832.3161629
"145",93821534.014387
"146",96236637.1602491
"147",90694668.49368
"148",97119409.5147173
"149",94575707.7163495
"150",96913878.4640377
"151",91983898.9414854
"152",93074558.1450404
"153",88195250.553294
"154",90422228.0008714
"155",93484945.5095189
"156",94674652.0805103
"157",95244561.7771167
"158",96620004.2304674
"159",97042918.9945982
"160",98927709.5456755
"161",90022392.8640617
"162",90008241.3788722
"163",95448265.4965551
"164",89953887.8339785
"165",93837685.9778097
"166",91763586.2033477
"167",96245653.4989731
"168",92660290.3704257
"169",90916340.7285327
"170",89331632.6799942
"171",91215369.2753769
"172",96501703.2054449
"173",93760507.4893225
"174",91443956.2809146
"175",92715038.4512431
"176",93895206.4199968
"177",91290988.7228651
"178",97312384.0683301
"179",96552239.7293813
"180",96869606.6434757
"181",95525536.2715391
"182",93309651.483185
"183",92956505.0930377
"184",94372725.4177134
"185",92162222.6285539
"186",89833016.1528693
"187",97207762.5950276
"188",94419929.8842573
"189",95134694.1134847
"190",95408817.4686712
"191",94895174.9208165
"192",93735828.4577271
"193",89923241.8453905
"194",95704159.8808238
"195",91736814.6854091
"196",93067687.0991598
"197",92721069.0302734
"198",90213284.6659428
"199",95072576.6694499
"200",92160832.68436
"201",90138802.1291529
"202",96420586.2267863
"203",94692668.3070396
"204",95955171.1978805
"205",96510361.7089347
"206",90598454.8053481
"207",94538071.6515489
"208",91662644.665652
"209",91273348.7423216
"210",95994111.3925813
"211",94893254.3818316
"212",96693787.271806
"213",95651674.682611
"214",97594313.5425023
"215",97167058.1406384
"216",96930872.6370482
"217",94294602.7739467
"218",98056230.9132168
"219",97285723.2783418
"220",90155424.1048896
"221",92813916.6466384
"222",95605590.2438337
"223",93706986.8026952
"224",94911963.5325735
"225",90668104.9387509
"226",90341958.8594182
"227",93040273.582273
"228",96053147.7693132
"229",90965963.7707396
"230",91668181.6476098
"231",94577433.6020596
"232",89916229.1068925
"233",92862361.9875735
"234",94874715.8175814
"235",95060960.8937447
"236",91205443.8700189
"237",98010264.9896141
"238",93118092.9371391
"239",96156049.7120434
"240",88515813.4328141
"241",96595833.9719416
"242",91433814.5781745
"243",90325833.4787744
"244",88892009.6823581
"245",93279911.2112415
"246",91303058.8481464
"247",93596686.2863824
"248",89997950.8887072
"249",95085428.2998454
"250",92964235.9924759
"251",94166836.6918675
"252",91006240.1160978
"253",89438355.4501564
"254",92724087.6985804
"255",96037276.8907255
"256",94547057.6941992
"257",90543833.2536993
"258",92067429.8903038
"259",94149893.769094
"260",93837267.1309255
"261",93333354.8444839
"262",91663613.7665571
"263",95871241.2958135
"264",93158546.0545805
"265",95646237.1357844
"266",96699779.9291079
"267",90395759.1199904
"268",95218141.2607873
"269",96396878.345672
"270",93499613.6160263
"271",89040392.9171614
"272",91879458.4592796
"273",90130719.768463
"274",92263868.4398713
"275",93699024.0634416
"276",95562126.0805525
"277",90139030.0777828
"278",91226905.870838
"279",90542567.8539141
"280",95308375.2990407
"281",92071689.429901
"282",90239581.6211016
"283",94575638.2150589
"284",93405469.5851785
"285",95152692.6345909
"286",95898186.2960185
"287",94812637.1771256
"288",92369958.5078721
"289",97019758.7281903
"290",96051496.5194307
"291",90401600.7342318
"292",91071004.7894536
"293",95709501.4282099
"294",94087546.6327746
"295",93479021.1037268
"296",90225060.355437
"297",96320574.3865032
"298",98030528.6785996
"299",96478281.9568477
"300",92389009.1929693
"301",93261828.7335936
"302",94792763.4938476
"303",89353423.9599578
"304",90599005.6279533
"305",91350027.8220737
"306",93363759.3206436
"307",90784871.1762322
"308",97868677.3540348
"309",89056114.7748431
"310",94469538.579074
"311",92444890.3223224
"312",96688229.9307328
"313",93536325.6474326
"314",92589310.200366
"315",95900727.4486309
"316",96902860.8516117
"317",92790494.042213
"318",95174188.952409
"319",95598172.4980001
"320",91406555.7474315
"321",90082854.9588985
"322",95291083.3002279
"323",89438210.3084294
"324",94842118.9644958
"325",96557742.3414803
"326",90341786.5601494
"327",93845404.9198473
"328",95401275.6753737
"329",98074919.4962426
"330",98119879.4137862
"331",91061873.4001373
"332",94077178.6234782
"333",94490514.6204921
"334",91278988.3327343
"335",92322318.867002
"336",94768023.8369765
"337",93946701.8227219
"338",97463984.3279051
"339",96115588.3916594
"340",90072055.855943
"341",95088767.140429
"342",93890981.1444703
"343",89484778.0337263
